Codigo_Pais_Origen,Codigo_Pais_Destino,1960,1970,1980,1990,2000
NGA,SVK,0,0,0,2,2
NGA,SVN,0,0,0,0,9
NGA,ESP,0,0,0,370,7256
NGA,LCA,0,0,0,1,8
NGA,THA,1,0,54,109,375
NGA,TKL,0,0,0,0,0
NGA,TUR,2,3,4,6,292
NGA,TKM,0,0,0,0,0
NGA,UGA,475,474,300,153,643
NGA,USA,3141,5885,31976,69384,141571
NGA,UZB,0,0,0,0,0
NGA,VEN,5,2,17,10,87
NGA,WLF,0,0,0,0,0
NIU,AGO,0,0,0,0,0
NIU,AUT,0,0,0,0,0
NIU,AZE,0,0,0,0,0
NIU,BTN,0,0,0,0,0
NIU,BOL,0,0,0,0,0
NIU,BRA,3,0,0,1,0
NIU,CPV,0,0,0,0,0
NIU,CAF,0,0,0,0,0
NIU,CHL,0,0,0,0,5
NIU,HRV,0,0,0,0,0
NIU,CUB,0,0,0,0,0
NIU,CZE,0,0,0,0,0
NIU,DJI,0,0,0,0,0
NIU,FRA,0,0,0,0,0
NIU,GEO,0,0,0,0,0
NIU,GUM,4,28,0,11,17
NIU,GNB,0,0,0,0,0
NIU,GUY,0,0,0,0,0
NIU,HTI,0,0,0,0,0
NIU,HND,0,0,0,0,0
NIU,HKG,0,0,0,0,6
NIU,HUN,0,0,0,0,0
NIU,KOR,0,0,0,0,0
NIU,LAO,0,0,0,0,0
NIU,LVA,0,0,0,0,0
NIU,MAC,0,0,0,0,0
NIU,MLT,0,0,0,0,0
NIU,FSM,7,6,5,3,4
NIU,MCO,0,0,0,0,0
NIU,MNG,0,0,0,0,0
NIU,MNE,0,0,0,0,0
NIU,MSR,0,0,0,0,0
NIU,NAM,0,0,0,0,0
NIU,NLD,0,0,0,0,0
NIU,ANT,0,0,0,0,0
NIU,NZL,1395,2895,5355,6332,5341
NIU,NER,0,0,0,0,0
NIU,NOR,0,0,0,0,0
NIU,PRY,0,0,0,0,0
NIU,ROU,0,0,0,0,0
NIU,SMR,0,0,0,0,0
NIU,SYC,0,0,0,0,0
NIU,SVN,0,0,0,0,0
NIU,SOM,0,0,0,0,0
NIU,ZAF,0,14,28,0,10
NIU,ESP,0,0,0,0,0
NIU,LKA,0,0,0,0,0
NIU,TLS,0,0,0,0,0
NIU,TUV,4,0,0,0,0
NIU,VUT,7,8,25,7,21
NFK,AND,0,0,0,0,0
NFK,ARG,0,0,0,0,0
NFK,BHS,0,0,0,0,0
NFK,BRB,0,0,0,0,0
NFK,BEN,0,0,0,0,0
NFK,BOL,0,0,0,0,0
NFK,BWA,0,0,0,0,0
NFK,CPV,0,0,0,0,0
NFK,CYM,0,0,0,0,0
NFK,CHL,0,0,0,0,0
NFK,COL,0,0,0,0,9
NFK,CIV,0,0,0,0,0
NFK,CYP,0,0,0,0,0
NFK,DJI,0,0,0,0,0
NFK,ECU,0,0,0,0,0
NFK,SLV,0,0,0,0,0
NFK,ETH,0,0,0,0,0
NFK,PYF,0,0,0,0,0
NFK,DEU,0,0,0,0,0
NFK,HTI,0,0,0,0,0
NFK,IND,0,0,0,7,2
NFK,IRN,0,0,0,0,0
NFK,JPN,0,0,0,0,0
NFK,KWT,0,0,0,0,0
NFK,KGZ,0,0,0,0,0
NFK,LAO,0,0,0,0,0
NFK,MKD,0,0,0,0,0
NFK,MDG,0,0,0,0,0
NFK,MYS,0,0,0,0,0
NFK,MLI,0,0,0,0,0
NFK,MSR,0,0,0,0,0
NFK,NER,0,0,0,0,0
NFK,PLW,0,0,0,0,0
NFK,PRY,0,0,0,0,0
NFK,QAT,0,0,0,0,0
NFK,RWA,0,0,0,0,0
NFK,SMR,0,0,0,0,0
NFK,SAU,0,0,0,0,0
NFK,SVK,0,0,0,0,0
NFK,SOM,0,0,0,0,0
NFK,LCA,0,0,0,0,0
NFK,SDN,0,0,0,0,0
NFK,THA,0,0,0,0,0
NFK,TLS,0,0,0,0,0
NFK,TGO,0,0,0,0,0
NFK,TKL,0,0,0,0,0
NFK,TUN,0,0,0,0,0
NFK,TUR,0,0,0,0,0
NFK,UGA,0,0,0,0,0
NFK,USA,2,4,280,24,152
NFK,VUT,2,2,11,0,1
NFK,VIR,0,0,0,0,0
NFK,WLF,0,0,0,0,0
NFK,YEM,0,0,0,0,0
NFK,ZMB,0,0,0,0,0
NFK,ZWE,0,0,0,0,0
MNP,DZA,0,0,0,0,0
MNP,ASM,0,2,3,6,9
MNP,AUT,0,0,0,0,0
MNP,AZE,0,0,0,0,0
MNP,BLR,0,0,0,0,0
MNP,BLZ,0,0,0,0,0
MNP,BEN,0,0,0,0,0
MNP,BIH,0,0,0,0,0
MNP,BRN,0,0,0,0,0
MNP,BGR,0,0,0,0,0
MNP,CAF,0,0,0,0,0
MNP,COL,0,0,0,0,15
MNP,CUB,0,0,4,7,19
MNP,CZE,0,0,0,0,0
MNP,FRO,0,0,0,0,0
MNP,FLK,0,0,0,0,0
MNP,GMB,0,0,0,0,0
MNP,GLP,0,0,2,4,4
MNP,HTI,0,0,0,0,0
MNP,HND,0,0,0,0,0
MNP,HKG,0,0,0,0,6
MNP,ISL,0,0,0,0,0
MNP,IRN,0,0,0,0,0
MNP,IRQ,0,0,0,0,0
